,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
0,Beige Solid Square Neck Puff Sleeve Short Fit And Flare Dress,"1,995","1,596",NaN,0,Party,Crepe,Solid/Plain,Slip On,Comfortable,Puff Sleeves,Mini,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
1,Monique One Shoulder Trim Bodycon Midi Dress,"9,800","9,800",NaN,0,Party,Blended Fabric,Embellished/Sequined,Zipper,Normal,Full Sleeves,Midi,N/A,One Shoulder,Forever New Apparels Pvt Ltd_parent,China
2,White And Blue Printed Top,"1,799","1,620",NaN,0,Casual,Viscose,Printed,Pull On,Normal,Full Sleeves,Regular,N/A,V-Neck,Vero Moda Retail Pvt. Ltd_parent,India
3,Lambswool Rich Striped Crew Neck Grey Sweater,"4,999","4,250",NaN,0,Casual,Wool,Stripes,Pull On,Comfortable,Full Sleeves,Tops,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,Madagascar
4,Maroon Flare Up For A Moment Dress,"2,495","2,121",4.3,4.3,Casual,Crepe,Solid/Plain,Back Closure,Comfortable,Full Sleeves,Knee Length,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
5,Satin Floral Print Shift Dress - Green and Black,"3,795","2,657",3.8,3.8,Party,Satin,Floral,Pull On,Semi-Fit,Full Sleeves,Knee Length,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
6,Metallic Ready For The Party Dress,"5,295","4,501",4.1,4.1,Party,Sequin,Embellished/Sequined,Zip,Fitted,Three Fourth Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
7,Beige Stripes Co-ords Midi Dress (Set of 2),"3,799",912,3.8,3.8,Work,Polyester,Stripes,Pull On,Comfortable,Full Sleeves,N/A,N/A,Turtle Neck,Purvaja,India
8,Stretch Pants - Black,"1,999","1,200",4.0,4.0,Formal,Polyester,Solid/Plain,Hook and Eye,Comfortable,N/A,N/A,Mid Waist,N/A,Power Sutra Clothing Private Limited.,India
9,Peacock Cinched Shirt Jacket,"2,449","1,739",4.0,4.0,Casual,Modal,Floral,Drawstring,Normal,Three Fourth Sleeves,N/A,N/A,V-Neck,Astrid Fashions Pvt Ltd,India
10,Red Hailey Dress,"3,950","3,753",3.8,3.8,Evening,Mesh,Ruched,Zipper,Comfortable,Sleeveless,Maxi,N/A,Strapless/Tube,Innsaei Designs Llp,India
11,Women Pink Pure Cotton Solid Oversized Casual Shirt,"1,749",875,4.2,4.2,Casual,Cotton,Solid/Plain,Button Fly,Oversized,Three Fourth Sleeves,N/A,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
12,Black Skinny Fit High Rise Denim Jeans,"2,399",960,4.0,4.0,Work,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
13,Vanilla Bean Polka Cotton Dress,"3,500","3,325",3.3,3.3,Evening,Cotton,Polka Dots,Slip On,Comfortable,Balloon Sleeve,Midi,N/A,V-Neck,Ordinaree Tribe Private Limited,India
14,Animal Print Basic Jumpsuit,"2,199",792,3.9,3.9,Casual,Polyester,Animal Print,Pull On,Comfortable,Full Sleeves,N/A,N/A,V-Neck,Khullar Appearls_parent,India
15,High Waisted Flare Pants in Second SKN Fabric With Pockets,"1,699","1,699",4.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
16,Women Maroon Waffle Knit Co-ord,"2,499","1,000",4.0,4.0,Travel,Cotton,Solid/Plain,Drawstring,Comfortable,Half Sleeves,N/A,N/A,Round Neck,Rigo International,India
17,Brown Green Chiffon Regular Top,"1,399",826,4.1,4.1,Casual,Chiffon,Animal Print,Button Fly,Semi-Fit,Balloon Sleeve,Regular,N/A,Mandarin Neck,Nidwait Retail Pvt Ltd,India
18,Womens Tie Knot Long Sleeve Top,"1,699",663,3.9,3.9,Casual,Crepe,Graphic,Button Fly,Comfortable,Full Sleeves,Regular,N/A,V-Neck,Lueur Vestures Pvt Ltd,India
19,Magenta Cotton Balloon Sleeve Midi Dress,"3,999","3,400",3.4,3.4,Semi Formal,Cotton,Solid/Plain,Front Closure,A-Line,Balloon Sleeve,Midi,N/A,V-Neck,Swish Boss Apparels Pvt. Ltd.,India
20,Women Peach Self Design Lace Regular Smart Casual Top,"1,899",930,4.2,4.2,Casual,Lace,Self Design,Tie-Ups,Normal,Three Fourth Sleeves,Regular,N/A,High Neck,Krislon Synthetics Pvt Ltd,India
21,Hot Pink A-Line Fit And Flare Short Dress With Back Bow Tie,"2,500","1,875",3.3,3.3,Party,Cotton Silk,Solid/Plain,Back Closure,Comfortable,Sleeveless,N/A,N/A,Shoulder Straps,Shaam Clothing Pvt Ltd,India
22,Maroon Puff Sleeve Midi Dress,"3,999","2,200",3.9,3.9,Party,Satin,Solid/Plain,Pull On,Normal,Full Sleeves,Midi,N/A,V-Neck,Mish Desings Limited,India
23,Front Slit Jacket A-Line Dress-Royal Blue,"4,495","3,147",3.9,3.9,Work,Polyester,Solid/Plain,Button Fly,Comfortable,Full Sleeves,Mini,N/A,Notched Lapel,Fablestreet Lifestyle Solutions Pvt Ltd,India
24,Multi-Color Flowers On My Tiers Maxi Dress,"1,995","1,796",4.4,4.4,Casual,Georgette,Floral,Zipper,Comfortable,Sleeveless,Maxi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
25,Head Over Heels White Mini Dress,"3,250","3,088",3.3,3.3,Evening,Cotton,Textured,Side Closure,Semi-Fit,Balloon Sleeve,Mini,N/A,Collar Neck,Innsaei Designs Llp,India
26,Maroon One Shoulder Bodycon Maxi Dress,"4,295","3,651",4.2,4.2,Evening,Polyester,Solid/Plain,Side Closure,Comfortable,Sleeveless,Maxi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
27,Women's Black Wide Leg High Rise Clean Look Stretchable Denim Jeans (Set of 2),"3,395","1,358",4.5,4.5,Casual,Denim,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
28,White Buttondown Shirt,"1,799",918,4.1,4.1,Everyday Essentials,Modal,Solid/Plain,Front Closure,Normal,Full Sleeves,N/A,N/A,Collar Neck,Astrid Fashions Pvt Ltd,India
29,Women Light Lavender Waffle Knit Co-ord,"2,499","1,000",4.0,4.0,Travel,Cotton,Solid/Plain,Drawstring,Comfortable,Half Sleeves,N/A,N/A,Round Neck,Rigo International,India
30,Solid Front Cut Basic Jumpsuit,"2,699","1,026",4.0,4.0,Work,Polyester,Solid/Plain,Zipper,Comfortable,Flared Sleeves,Jumpsuits,N/A,V-Neck,Khullar Appearls_parent,India
31,Womens Chiffon Wine Colored Floral 2-Tiered Midi Dress,"2,299","1,127",4.2,4.2,Casual,Chiffon,Floral,Drawstring,Comfortable,Balloon Sleeve,Midi,N/A,Keyhole Neck,Lueur Vestures Pvt Ltd,India
32,Black Bean Co-Ord (Set of 2),"2,500","2,375",3.2,3.2,Casual,Cotton,Solid/Plain,Button Fly,Anti-Fit,Three Fourth Sleeves,N/A,N/A,Collar Neck,Ordinaree Tribe Private Limited,India
33,Black 4 Way Stretch Bootcut Livin Pants,"2,695","1,941",4.2,4.2,Everyday Essentials,Nylon,Solid/Plain,Slip On,Comfortable,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
34,Lavender One Shoulder Wave Print Midi Dress,"2,995","2,696",4.2,4.2,Party,Polyester,Printed,Slip On,Fitted,Sleeveless,Midi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
35,So High - Beige Dress-Beige,"3,750","3,563",3.7,3.7,Party,Mesh,Solid/Plain,Slip On,Skinny,Full Sleeves,Mini,N/A,Sweetheart,Innsaei Designs Llp,India
36,The Power Of Black Pants,"4,495","3,821",3.6,3.6,Evening,Polyester,Solid/Plain,Zip,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
37,Floral Print Basic Playsuit,"2,199",748,4.0,4.0,Casual,Polyester,Floral,Zipper,Comfortable,Full Sleeves,Playsuit,N/A,V-Neck,Khullar Appearls_parent,India
38,Women Solar Orange Solid Poly Crepe Oversized Casual Shirt,"1,499",790,4.1,4.1,Work,Cotton,Solid/Plain,Button Fly,Boxy,Full Sleeves,N/A,N/A,Collar Neck,Krislon Synthetics Pvt Ltd,India
39,Women Black Waffle Knit Co-ord,"2,499","1,000",4.0,4.0,Everyday Essentials,Cotton,Solid/Plain,Drawstring,Comfortable,Half Sleeves,N/A,N/A,Round Neck,Rigo International,India
40,Admiral Cotton Backless Dress,"4,900","4,655",4.3,4.3,Resort/Vacation,Cotton,Solid/Plain,Tie-Ups,Gathered,Sleeveless,Maxi,N/A,Halter Neck,Ordinaree Tribe Private Limited,India
41,Brown & Peach-Coloured Floral Ruffles Georgette Wrap Crop Top,"1,599",800,3.9,3.9,Casual,Chiffon,Floral,Tie-Ups,Semi-Fit,Balloon Sleeve,Crop Tops,N/A,V-Neck,Nidwait Retail Pvt Ltd,India
42,Women White Pure Cotton Solid Oversized Casual Shirt,"1,749",875,4.2,4.2,Casual,Cotton,Solid/Plain,Button Fly,Oversized,Three Fourth Sleeves,N/A,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
43,Work Black Solid Wide Leg Trousers,"2,795","2,236",3.7,3.7,Work,Polyester,Solid/Plain,Button Fly,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
44,Black Keep Me Ruched Polka Dress,"4,295","3,436",4.2,4.2,Evening,Net,Polka Dots,Zip,Comfortable,Sleeveless,Midi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
45,Maroon Satin Cowl Neck Top,"2,395","1,677",4.0,4.0,Work,Satin,Solid/Plain,Pull On,Regular,Full Sleeves,Regular,N/A,Cowl Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
46,Pink Flambé Short Dress,"2,599","2,470",2.3,2.3,Casual,Cotton,Solid/Plain,Zip,Gathered,Balloon Sleeve,Mini,N/A,Round Neck,Ordinaree Tribe Private Limited,India
47,Women's Black Wide leg High rise Clean look Regular Stretchable Denim Jeans,"3,395","1,358",4.4,4.4,Casual,Cotton,Solid/Plain,N/A,A-Line,N/A,N/A,High Waist,N/A,Chase Lifestyle Private Limited_parent,India
48,Maroon Sequin Long Gown with Slit,"8,399","6,300",3.1,3.1,Party,Lycra,Embellished/Sequined,Slip On,Comfortable,Full Sleeves,Maxi,N/A,V-Neck,Shaam Clothing Pvt Ltd,India
49,Pink Front Knot Peplum Feminine Frills Top,"1,499",555,3.9,3.9,Casual,Polyester,Solid/Plain,Back Closure,Normal,Full Sleeves,Regular,N/A,V-Neck,Khullar Appearls_parent,India
50,White Embroidered Shirt,"3,599","1,656",4.1,4.1,Casual,Cotton,Embroidered,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Ruffled Neck,Astrid Fashions Pvt Ltd,India
51,Magenta Empire Bodycon Maxi Dress (S),"2,499","1,325",4.0,4.0,Evening,Polyester,Solid/Plain,Zipper,Empire,Full Sleeves,Maxi,N/A,High Neck,Purvaja,India
52,Rust Ruffle On My Mind Dress,"2,995","2,097",4.2,4.2,Evening,Georgette,Solid/Plain,Zip,Comfortable,Sleeveless,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
53,Black Throw Some Sass Dress,"4,995","4,246",4.2,4.2,Party,Polyester,Solid/Plain,Back Closure,Comfortable,Full Sleeves,Mini,N/A,High Neck,Nykaa Fashion Pvt Ltd,India
54,Women Yellow & White V Neck Full Sleeve Floral Layered Maxi Dress,"2,395","1,198",3.8,3.8,Casual,Chiffon,Floral,Zip,Comfortable,Full Sleeves,Maxi,N/A,V-Neck,Chase Lifestyle Private Limited_kolkatta,India
55,Black Solid Pant,"2,695","1,941",3.9,3.9,Work,Viscose,Solid/Plain,Pull On,Loose,N/A,N/A,High Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
56,Sulphur 3 Piece (Set of 3),"2,400","2,280",2.9,2.9,Resort/Vacation,Cotton,Solid/Plain,Buckle,Comfortable,Balloon Sleeve,N/A,N/A,Notched Lapel,Ordinaree Tribe Private Limited,India
57,Butter - Pink Dress-Pink,"3,950","3,753",3.1,3.1,Evening,Crepe,Solid/Plain,Tie-Ups,Comfortable,Sleeveless,Midi,N/A,Sweetheart,Innsaei Designs Llp,India
58,Satin Sheath Dress,"3,790","1,706",4.0,4.0,Party,Satin,Solid/Plain,Zip,Regular,Sleeveless,N/A,N/A,Sweetheart,Paccoperri Fashion House Llp.,India
59,High Waisted Flare Pants in Second SKN Fabric With Pockets,"1,699","1,699",4.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
60,Black Double Button Blazer,"3,799","3,799",5.0,5.0,Casual,Viscose,Solid/Plain,Button Fly,Normal,Full Sleeves,Blazer,N/A,Notched Lapel,Vero Moda Retail Pvt. Ltd_parent,India
61,Cream Graphic Oversized T-Shirt,"1,199",564,4.2,4.2,Casual,Cotton,Printed,N/A,Regular,Half Sleeves,N/A,N/A,Crew Neck,Elcinco Inc,India
62,Pink Floral Tie-Up Midi Dress,"3,499","1,575",3.9,3.9,Casual,Viscose,Printed,Tie-Ups,Normal,Half Sleeves,Midi,N/A,Square Neck,Vero Moda Retail Pvt. Ltd_parent,India
63,Day In Summer Dress,"2,995","2,247",4.3,4.3,Casual,Polyester,Floral,Zip,Comfortable,Half Sleeves,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
64,Sassy Goddess Lond Dress,"4,050","3,848",3.5,3.5,Festive,Georgette,Solid/Plain,Pull On,Gathered,Sleeveless,Maxi,N/A,One Shoulder,Ordinaree Tribe Private Limited,India
65,Grey 4 Way Stretch Wide Leg Livin Pants,"2,695","1,941",4.0,4.0,Work,Nylon,Solid/Plain,Zip,Comfortable,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
66,Teal V Neck Sleeveless Sequins Gown,"6,595","5,606",4.4,4.4,Party,Sequin,Embellished/Sequined,Zipper,Fitted,Sleeveless,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
67,Womens Peplum Blazer Top,"1,599",672,3.9,3.9,Work,Crepe,Stripes,Hook and Eye,Peplum,Sleeveless,Regular,N/A,Collar Neck,Lueur Vestures Pvt Ltd,India
68,Beige Solid Cotton Spandex Womens Jogger,"3,899",974,3.9,3.9,Casual,Cotton,Solid/Plain,Button Fly,Normal,N/A,N/A,Mid Waist,N/A,Redtape Limited_parent,Bangladesh
69,After Party Edit Black Lines Embellished Midi Dress,"5,800","4,930",3.4,3.4,Party,Crepe,Embellished/Sequined,Zipper,Tailored,Sleeveless,Midi,N/A,Square Neck,Swish Boss Apparels Pvt. Ltd.,India
70,Black Women Solid Tapered Fit Pant,"2,199",770,3.9,3.9,Work,Cotton,Solid/Plain,Front Closure,Comfortable,N/A,N/A,High Waist,N/A,Khullar Appearls_parent,India
71,Iconic All Day Legging -NYK260-Jet Black,"1,499","1,499",4.3,4.3,Casual,Polyester,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,Bangladesh
72,Pink Tie & Dye Embroidered Co-Ord (Set of 2),"3,373","1,518",3.8,3.8,Festive,Rayon,Tie & Dye,Button Fly,Comfortable,Three Fourth Sleeves,N/A,N/A,Collar Neck,Zolo Label Private Limited,India
73,Pink Sequin Overlap Sheath Short Dress,"5,295","3,707",4.2,4.2,Party,Sequin,Embellished/Sequined,Zipper,Comfortable,Full Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
74,Buttercup Short Dress,"2,500","2,375",3.2,3.2,Casual,Cotton,Solid/Plain,Pull On,Gathered,Balloon Sleeve,Mini,N/A,V-Neck,Ordinaree Tribe Private Limited,India
75,Nikhil Thampi My Personal Expression Pants,"4,495","3,821",3.1,3.1,Party,Polyester,Solid/Plain,Front Closure,Comfortable,N/A,N/A,Mid Waist,N/A,Nykaa Fashion Pvt Ltd,India
76,Satin Floral Print Top - White and Black,"2,895","2,027",3.6,3.6,Evening,Satin,Floral,Pull On,Comfortable,Three Fourth Sleeves,Regular,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
77,Black Loose Fit Joggers,"1,999",700,3.6,3.6,Casual,Polyester,Solid/Plain,Drawstring,Comfortable,N/A,N/A,High Waist,N/A,Khullar Appearls_parent,India
78,Button-Down Collar Black Solid Short Sleeves Casual Shirt for Women,"1,799",918,4.1,4.1,Casual,Satin,Solid/Plain,Button Fly,Comfortable,Half Sleeves,N/A,N/A,Collar Neck,Astrid Fashions Pvt Ltd,India
79,Black Front Slit Maxi Top,"1,099",440,3.6,3.6,Casual,Cotton,Solid/Plain,Pull On,Semi-Fit,Full Sleeves,N/A,N/A,Round Neck,Rigo International,India
80,Urban Sunset White Dress,"2,799","2,799",3.6,3.6,Party,Polyester,Ruffled,Pull On,Skinny,Sleeveless,Maxi,N/A,Shoulder Straps,Miakee,India
81,Florence Shrug,"2,474","1,064",4.0,4.0,Resort/Vacation,Georgette,Printed,Slip On,Comfortable,Three Fourth Sleeves,Shrugs,N/A,Shawl Lapel,Astrid Fashions Pvt Ltd,India
82,Women Lilac Pure Cotton Solid Oversized Casual Shirt,"1,749",875,4.2,4.2,Casual,Cotton,Solid/Plain,Button Fly,Oversized,Three Fourth Sleeves,N/A,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
83,Black High On Trend Polka Dress,"1,995","1,696",4.3,4.3,Casual,Polyester,Polka Dots,Zip,Comfortable,Three Fourth Sleeves,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
84,Slime Green Backless Dress,"6,100","5,795",3.5,3.5,Resort/Vacation,Georgette,Solid/Plain,Tie-Ups,Comfortable,Sleeveless,Maxi,N/A,Shoulder Straps,Ordinaree Tribe Private Limited,India
85,Black Bow To Ruffle Short Dress,"3,295","2,801",4.2,4.2,Party,Satin,Textured,Zip,Comfortable,Sleeveless,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
86,Cutout Detail Dress - Blue,"3,795","2,657",4.4,4.4,Casual,Cotton,Solid/Plain,Zipper,Semi-Fit,Half Sleeves,Midi,N/A,Round Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
87,Black Solid Puff Sleeves Short Dress,"2,099","1,155",3.9,3.9,Party,Georgette,Solid/Plain,Pull On,Gathered,Half Sleeves,Mini,N/A,Sweetheart,Mish Desings Limited,India
88,Womens Tie Knot Long Sleeve Top,"1,699",663,3.9,3.9,Casual,Crepe,Floral,Button Fly,Comfortable,Balloon Sleeve,Regular,N/A,V-Neck,Lueur Vestures Pvt Ltd,India
89,About Time - Dress-Black,"3,950","3,753",3.4,3.4,Evening,Lycra,Ruffled,Zip,Empire,Sleeveless,Mini,N/A,Strapless/Tube,Innsaei Designs Llp,India
90,Women Blue Printed Shirt With Solid Skirt (Set of 2),"3,698","1,480",4.3,4.3,Casual,Chiffon,Animal Print,Front Closure,Free,Three Fourth Sleeves,N/A,N/A,Collar Neck,Nidwait Retail Pvt Ltd,India
91,Embroidered Midi Skater Dress,"2,390","1,673",3.8,3.8,Casual,Cotton,Embroidered,Button Fly,Normal,Half Sleeves,Midi,N/A,Mandarin Neck,Samshek Fashion Pvt Ltd_mp,India
92,Brown Balloon Sleeve Bodycon Knee Dress,"2,999","1,050",3.8,3.8,Party,Lycra,Embellished/Sequined,Pull On,Normal,Balloon Sleeve,N/A,N/A,Square Neck,Khullar Appearls_parent,India
93,Green Ombre Bell Sleeves Ruched Mini Dress,"2,995","2,696",4.1,4.1,Party,Net,Ombre,Zipper,Fitted,Full Sleeves,Mini,N/A,High Neck,Nykaa Fashion Pvt Ltd,India
94,Cream Cotton Dress,"3,100","2,945",3.6,3.6,Casual,Cotton,Printed,Slip On,Normal,Bell Sleeves,Mini,N/A,V-Neck,Ordinaree Tribe Private Limited,India
95,Red Living My Red Carpet Moment Dress,"5,495","4,396",4.2,4.2,Evening,Polyester,Solid/Plain,Zip,Fitted,N/A,Maxi,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
96,Rama Abstract Print Co-ords Midi Dress (Set of 2),"3,799",912,3.8,3.8,Casual,Polyester,Abstract,Pull On,Comfortable,Full Sleeves,N/A,N/A,Turtle Neck,Purvaja,India
97,Cotton Tieup Sleeve Top - Coral Red,"1,895","1,327",3.9,3.9,Work,Cotton,Solid/Plain,Slip On,Comfortable,Half Sleeves,Regular,N/A,Mandarin Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
98,Black Printed Co-ords Midi Dress (Set of 2),"3,799",912,3.8,3.8,Work,Polyester,Printed,Pull On,Comfortable,Full Sleeves,N/A,N/A,Turtle Neck,Purvaja,India
99,Light Blue High Rise Pleated Wide Leg Jeans,"2,799","2,032",4.0,4.0,Casual,Cotton,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Arvind Lifestyle Brands Limited-parent,India
100,Double Breasted White Blazer Pants Set (Set of 3),"2,398","2,398",3.0,3.0,Festive,Cotton,Solid/Plain,Front Closure,Comfortable,Full Sleeves,N/A,N/A,N/A,Modern Circus Private Limited,India
101,Women Pink Cotton Long Sleeves Self Design Top,"1,999",880,4.0,4.0,Casual,Cotton,Self Design,Button Fly,Normal,Full Sleeves,Crop Tops,N/A,V-Neck,Lueur Vestures Pvt Ltd,India
102,Black Solid Cotton Spandex Womens Jogger,"3,899",974,3.9,3.9,Casual,Cotton,Solid/Plain,Button Fly,Normal,N/A,N/A,Mid Waist,N/A,Redtape Limited_parent,Bangladesh
103,English Lavender Cotton Dress,"2,600","2,470",2.9,2.9,Casual,Cotton,Solid/Plain,Pull On,Gathered,Balloon Sleeve,Mini,N/A,V-Neck,Ordinaree Tribe Private Limited,India
104,"Golabar Multi-Color Bustier, Pleated Pants and Cape GGSKD106 (Set of 3)","7,999","6,400",4.5,4.5,Festive,Polyester,Stripes,Zipper,Comfortable,Flared Sleeves,N/A,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
105,Navy Blue You Look Good Playsuit,"2,195","1,647",4.2,4.2,Party,Knitted,Solid/Plain,Zipper,Fitted,Full Sleeves,Playsuit,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
106,Brown Topped With Sass Jumpsuit,"5,995","4,796",3.5,3.5,Party,Satin,Solid/Plain,Back Closure,Comfortable,Sleeveless,Jumpsuits,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
107,Iconic Go To Travel Pant -NYAT249-Jet Black,"1,799","1,799",4.3,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,Bangladesh
108,Women Black Halter Neck Sleeveless Solid Embellished Midi Dress,"3,495","1,398",4.2,4.2,Party,Polyester,Embellished/Sequined,Zip,Skinny,Sleeveless,Midi,N/A,Halter Neck,Chase Lifestyle Private Limited_kolkatta,India
109,Blue Puff Sleeves Lace Insert Frill Hem Bodycon Midi Dress,"1,749","1,575",3.7,3.7,Casual,Lace,Lace,Back Closure,Normal,Puff Sleeves,Midi,N/A,Round Neck,Premiere Retail Trading Private Limited,India
110,Alora Satin Tie Co-Ord Blazer (Set of 2),"8,400","4,295",2.8,2.8,Work,Satin,Solid/Plain,Drawstring,Normal,Full Sleeves,Blazer,N/A,Notched Lapel,Forever New Apparels Pvt Ltd_parent,Switzerland
111,Blue Right On Ruche Floral Dress,"2,195","1,756",4.2,4.2,Casual,Chiffon,Floral,Zipper,Comfortable,Half Sleeves,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
112,Sterling Light Blue Dress,"2,700","2,565",3.1,3.1,Casual,Cotton,Solid/Plain,Pull On,Gathered,Cap,Mini,N/A,Sweetheart,Ordinaree Tribe Private Limited,India
113,Regular Fit Stretch Trouser- White,"2,899","1,160",3.5,3.5,Formal,Viscose,Solid/Plain,Hook and Eye,Comfortable,N/A,N/A,Mid Waist,N/A,Power Sutra Clothing Private Limited.,India
114,Ruffle Polka Fit & Flare MAroon Dress,"1,999","1,000",4.2,4.2,Casual,Georgette,Polka Dots,N/A,Semi-Fit,Full Sleeves,Knee Length,N/A,V-Neck,Nidwait Retail Pvt Ltd,India
115,Multi Color Big Floral Print Top,"1,895","1,327",4.2,4.2,Casual,Polyester,Floral,Front Closure,Comfortable,Three Fourth Sleeves,Regular,N/A,Mandarin Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
116,Solids Orange Cotton Women Cut-Out Crop Top,999,629,4.2,4.2,Casual,Cotton,Solid/Plain,N/A,Super Slim,Full Sleeves,N/A,N/A,Round Neck,The Souled Store Private Limited_parent,India
117,Burgundy Bardot Ruched Bodycon Midi Dress,"2,649","2,649",4.3,4.3,Evening,Synthetic,Solid/Plain,Pull On,Skinny,Sleeveless,Knee Length,N/A,Off Shoulder,Premiere Retail Trading Private Limited,China
118,Multicolor Printed Three Fourth Sleeves Casual Knee Length Dress For Women,"5,099","1,581",4.1,4.1,Casual,Polyester,Printed,Drawstring,A-Line,Three Fourth Sleeves,Knee Length,N/A,Shawl Lapel,Astrid Fashions Pvt Ltd,India
119,V- Neck Polka Dot Printed Cotton Basic Jumpsuit,"2,499",875,4.2,4.2,Casual,Polyester,Polka Dots,Zipper,Comfortable,Half Sleeves,Jumpsuits,N/A,V-Neck,Khullar Appearls_parent,India
120,Floral Print Side Slit Sheath Maxi Dress,"2,995","2,097",4.3,4.3,Resort/Vacation,Polyester,Floral,Slip On,Comfortable,Sleeveless,Maxi,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
121,Sun Purple Cotton Dress,"2,500","2,375",3.2,3.2,Casual,Cotton,Solid/Plain,Zip,Gathered,Balloon Sleeve,Mini,N/A,Sweetheart,Ordinaree Tribe Private Limited,India
122,Scarlet Asymmetric Top & Trousers Set (Set of 2),"6,299","5,985",3.4,3.4,Festive,Crepe,Solid/Plain,Zipper,Tailored,Flared Sleeves,N/A,N/A,One Shoulder,Binfinite And Vara Lifestyle Private Limited,India
123,Black Foil Print Co-Ord (Set of 2),"4,999","1,400",4.0,4.0,Work,Polyester,Printed,Front Closure,Comfortable,Three Fourth Sleeves,N/A,N/A,Shawl Lapel,Khullar Appearls_parent,India
124,High Waisted Leggings in Second SKN Fabric With Pockets And Perfect Ankle Length For Gymming and Training,"1,599","1,599",3.9,3.9,Sports,Poly/Spandex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
125,Cotton Button Down A-Line Dress - Olive,"3,295","2,307",4.2,4.2,Work,Cotton,Solid/Plain,Button Fly,Normal,Sleeveless,Maxi,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
126,Solids Blue Stripes Cotton Women Boyfriend Shirt,"1,999","1,343",3.6,3.6,Casual,Cotton,Stripes,Button Fly,Boxy,Full Sleeves,N/A,N/A,Collar Neck,The Souled Store Private Limited_parent,India
127,Red Hot Top-Red,"2,750","2,613",3.2,3.2,Evening,Linen,Solid/Plain,Back Closure,Skinny,Sleeveless,Regular,N/A,Sweetheart,Innsaei Designs Llp,India
128,Yellow Floral Maxi Dress,"4,490","2,245",4.3,4.3,Resort/Vacation,Viscose,Floral,Pull On,Comfortable,Sleeveless,Maxi,N/A,V-Neck,Future Style Lab Limited_gurgaon,India
