,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
2382,Black Solid Bodysuits,"1,999","1,400",NaN,0,Party,Blended Fabric,Solid/Plain,N/A,N/A,Sleeveless,N/A,N/A,Shoulder Straps,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,China
2383,Work Blue And White Floral Printed A Line Flared Skirt,"2,295","1,492",3.8,3.8,Party,Polyester,Floral,Zipper,Comfortable,N/A,Midi,Mid Waist,N/A,Nykaa Fashion Pvt Ltd,India
2384,Spot Cowl Neck Split Mini Dress,"2,699","2,430",NaN,0,Casual,Woven,Printed,Pull On,Regular,Sleeveless,Mini,N/A,Cowl Neck,Nykaa Fashion Pvt Ltd,China
2385,Navy Blue Halter Neck Embellished Knee Length Dress,"4,490","2,021",3.7,3.7,Evening,Polyester,Embellished/Sequined,Zip,Normal,Sleeveless,Knee Length,N/A,Halter Neck,Kazo Fashion Pvt Ltd_mp,India
2386,Solid Black Bodysuits,"1,699","1,530",4.3,4.3,Party,Polyester,Solid/Plain,N/A,N/A,Sleeveless,N/A,N/A,Square Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,Seychelles
2387,Multi-Color Sequin Flared Pant,"4,990","2,495",NaN,0,Party,Polyester,Embellished/Sequined,Button Fly,Normal,N/A,N/A,High Waist,N/A,Kazo Fashion Pvt Ltd_mp,India
2388,Grand Floral One Shoulder Dress,"4,850","4,850",NaN,0,Party,Georgette,Floral,Zipper,Anti-Fit,Three Fourth Sleeves,Knee Length,N/A,One Shoulder,Atticsalt Creations Pvt. Ltd.,India
2389,Brown Striped Midi Dress,"3,999","1,800",5.0,5.0,Casual,Polyester,Stripes,Button Fly,Normal,Half Sleeves,Midi,N/A,Collar Neck,Vero Moda Retail Pvt. Ltd_parent,India
2390,Pink Denim Dream Jumpsuit (Set of 2),"4,490","2,245",3.8,3.8,Work,Denim,Solid/Plain,Button Fly,Normal,Half Sleeves,Jumpsuits,N/A,Collar Neck,Future Style Lab Limited_gurgaon,India
2391,Black Solid Sculpted Neck Gown,"5,495","4,122",4.7,4.7,Evening,Polyester,Solid/Plain,Zipper,Fitted,Sleeveless,Maxi,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
2392,Twist Lbd Dress,"4,990","4,990",NaN,0,Party,Polyester,Embellished/Sequined,Zipper,Normal,Sleeveless,Mini,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
2393,Women Light Burgundy Halter Neck Sleeveless Embellished Crepe Pleated Jumpsuit,"3,995","1,598",NaN,0,Party,Crepe,Embellished/Sequined,Zipper,Comfortable,Sleeveless,Jumpsuits,N/A,Halter Neck,Chase Lifestyle Private Limited_parent,India
2394,Women Slim Fit Track Pant,999,400,3.5,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gunno Apparels Private Limited,India
2395,Curve Brown Geometric Printed Casual Shirt,"1,795","1,795",NaN,0,Casual,Georgette,Geometric,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
2396,Blue Gradient Straight Fit Jeans,"2,495","1,996",5.0,5.0,Casual,Denim,Tie & Dye,N/A,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
2397,Halter Neck Mini Dress,"3,990","3,192",NaN,0,Party,Polyester,Solid/Plain,Tie-Ups,Comfortable,Full Sleeves,Mini,N/A,Halter Neck,Cacti Designs Pvt Ltd,India
2398,Alecia Hourglass Slim Jeans,"4,000","2,395",NaN,0,Casual,Blended Fabric,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Forever New Apparels Pvt Ltd_parent,China
2399,Blush Striped Two Tone Shirt,"2,499","2,375",3.1,3.1,Formal,Cotton,Stripes,Front Closure,Semi-Fit,Balloon Sleeve,Shirts,N/A,Ruffled Neck,Binfinite And Vara Lifestyle Private Limited,India
2400,Solid Black Dress,"2,999","2,700",4.7,4.7,Casual,Blended Fabric,Solid/Plain,Button Fly,Regular,Full Sleeves,Knee Length,N/A,V-Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,Seychelles
2401,Seamless Cable Knit High Waist Leggings Black,"12,999","9,750",NaN,0,Casual,Nylon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,China
2402,Pink Midi Dress,"3,999","1,800",NaN,0,Casual,Viscose,Solid/Plain,Tie-Ups,Comfortable,Three Fourth Sleeves,Midi,N/A,V-Neck,Vero Moda Retail Pvt. Ltd_parent,India
2403,Black Printed Dress,"2,199","1,100",4.0,4.0,Casual,Crepe,Printed,Zip,Regular,Sleeveless,Mini,N/A,V-Neck,Mish Desings Limited,India
2404,Multicolor Abstract Print Ruched Midi Dress,"2,995","2,247",5.0,5.0,Party,Polyester,Abstract,Slip On,Fitted,Three Fourth Sleeves,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
2405,White High Waisted Wide Leg Denim,"2,990","1,346",3.8,3.8,Work,Denim,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Kazo Fashion Pvt Ltd_mp,India
2406,Green Solid Bodycon Knee Length Dress,"2,599",572,5.0,5.0,Evening,Polyester,Solid/Plain,Pull On,Comfortable,Full Sleeves,Knee Length,N/A,Round Neck,Purvaja,India
